Type;Words
0;"MongoDB starting"
1;"db version"
2;"version git"
3;"build info Linux SMP Fri Jan UTC"
4;"allocator tcmalloc"
5;"options processManagement fork true storage dbPath systemLog destination file logAppend path /var/log/mongodblog"
6;"journal"
7;"journal recover no files present recovery needed"
8;"waiting for connections on port"
9;"mem MB res virt"
10;"journal mapped incl view"
11;"connections"
12;"connection accepted from now open"
13;"connections connection accepted from now open"
14;"build on index acmeairbooking properties v key id name ns"
15;"index added to empty collection"
16;"connections connection now open end"
17;"connection now open end"
18;"got signal Terminated will terminate after current cmd ends"
19;"now exiting"
20;"dbexit"
21;"to shutdown going close listening sockets"
22;"listening closing socket"
23;"file socket removing"
24;"to shutdown going flush diaglog"
25;"to shutdown going close sockets"
26;"waiting for shutdown fs preallocator"
27;"for shutdown lock final commit"
28;"shutdown final commit"
29;"files shutdown closing all"
30;"closeAllFiles finished"
31;"journalCleanup"
32;"removeJournalFiles"
33;"shutdown removing fs lock"
34;"now exiting dbexit really"
35;"index key insert acmeaircustomer keyUpdates exception insertDocument caused by duplicate error acmeaircustomer$id dup code numYields locksmicros w"
36;"keyUpdates numYields locksmicros query acmeairflight flightSegmentId scheduledDepartureTime $gte new $lt planSummary COLLSCAN ntoreturn ntoskip nscanned nscannedObjects r nreturned reslen"
